化学物质残留,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Jul,18.Dec,18.Oct,18.Aug,18.Jul,17.Apr,17.Jan,16.Nov,16.May,16.Jan,15.Oct,15.Aug,15.Jul,15.Jan,13.Jun,13.May,12.Nov,11.Aug,6.Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1,2,1,1,3,1,1,1,19,1,4,0,1,0,17,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有毒有害食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Nov,19.Oct,19.Sep,19.Aug,19.Jun,19.May,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Nov,18.Oct,18.Sep,18.Aug,18.Jul,18.Jun,18.May,18.Mar,18.Feb,18.Jan,17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,17.May,17.Apr,17.Mar,17.Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1,8,8,13,16,29,45,2,3,17,16,6,11,17,28,21,18,23,6,7,6,1,41,21,24,28,9,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.Dec,16.Nov,16.Oct,16.Sep,16.Aug,16.Jul,16.Jun,16.Apr,16.Mar,16.Feb,16.Jan,15.Nov,15.Oct,15.Sep,15.Aug,15.Jul,15.Jun,15.May,15.Apr,15.Mar,15.Feb,15.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,61,2,1,7,17,18,61,44,6,5,2,9,31,52,44,23,7,56,37,55,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.Dec,14.Nov,14.Oct,14.Sep,14.Aug,14.Jul,14.Jun,14.May,14.Apr,14.Mar,14.Feb,14.Jan,13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,13.May,13.Apr,13.Mar,13.Feb,13.Jan,12.Dec,12.Nov,12.Oct,12.Sep,12.Aug,12.Jul,12.Jun,12.May,12.Apr,12.Mar,12.Feb,12.Jan,11.Dec,11.Nov,11.Oct,11.Sep,11.Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,55,69,38,51,42,24,36,17,115,63,95,53,64,95,81,50,85,229,127,69,211,102,81,26,16,6,20,35,18,15,45,8,150,43,43,99,73,91,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转基因农产品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Jun,19.May,19.Feb,19.Jan,18.Jul,17.Jul,17.Feb,17.Jan,16.Nov,16.Aug,16.Jun,16.May,16.Apr,16.Mar,16.Feb,15.Dec,15.Oct,15.Jun,15.May,15.Apr,15.Mar,15.Feb,15.Jan,14.Dec,14.Oct,14.Sep,14.Aug,14.Jul,14.Jun,14.May,14.Mar,14.Feb,14.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42,1,4,3,22,1,1,3,11,16,3,15,88,7,6,24,4,2,76,55,66,3,5,11,20,23,51,1,16,53,6,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,13.May,13.Apr,13.Mar,13.Feb,13.Jan,12.Dec,12.Nov,12.Oct,12.Sep,12.Aug,12.May,12.Mar,11.Dec,11.Nov,11.Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19,61,1,53,0,78,10,12,246,4,1,1,0,3,0,3,1,64,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农药残留,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Nov,19.Oct,19.Sep,19.Aug,19.Jul,19.Jun,19.May,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Nov,18.Oct,18.Sep,18.Aug,18.Jul,18.Jun,18.May,18.Apr,18.Mar,18.Feb,18.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30,30,16,19,68,86,48,26,5,58,33,93,129,53,75,106,114,126,138,96,39,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,17.May,17.Apr,17.Mar,17.Feb,17.Jan,16.Dec,16.Nov,16.Oct,16.Sep,16.Aug,16.Jul,16.Jun,16.May,16.Apr,16.Mar,16.Feb,16.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,52,50,33,43,86,36,76,74,81,165,144,82,96,20,32,91,8,10,158,23,36,52,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.Dec,15.Nov,15.Oct,15.Sep,15.Aug,15.May,15.Apr,15.Mar,15.Feb,15.Jan,14.Dec,14.Nov,14.Oct,14.Sep,14.Aug,14.Jul,14.Jun,14.May,14.Apr,14.Mar,14.Feb,14.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,31,61,174,162,335,443,195,86,92,113,50,116,40,155,89,201,83,132,343,74,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,13.May,13.Apr,13.Mar,13.Feb,13.Jan,12.Dec,12.Nov,12.Oct,12.Sep,12.Aug,12.Jul,12.May,12.Apr,12.Mar,12.Feb,12.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,115,42,21,164,622,750,1366,284,410,167,442,417,133,126,127,768,344,674,408,47,51,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.Dec,11.Nov,11.Oct,11.Sep,11.Aug,11.Jul,11.Jun,11.May,11.Jan,10.Dec,8.Feb,8.Jan,7.Sep,7.Aug,7.Jan,6.Nov,6.Aug,6.May,6.Apr,6.Feb,5.Sep,5.Mar,5.Feb,4.Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,50,76,109,143,5,2,7,2,9,20,1,1,4,1,1,4,4,1,2,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疯牛病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Nov,19.Oct,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Oct,18.Aug,18.Jul,18.Jun,18.May,18.Apr,17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,17.May,17.Apr,17.Mar,17.Feb,17.Jan,16.Dec,16.Nov,16.Oct,16.Sep,16.Aug,16.Jul,16.Jun,16.May,16.Apr,16.Mar,16.Feb,16.Jan,15.Dec,15.Nov,15.Oct,15.Sep,15.Aug,15.Jul,15.Jun,15.May,15.Apr,15.Mar,15.Feb,15.Jan,,,,,,,,,,,,,,,,,,,,
1,1,1,1,20,7,1,10,33,1,2,1,1,1,6,1,2,4,1,13,2,5,4,2,3,2,3,1,3,6,7,3,1,11,3,1,6,2,8,2,14,3,38,76,15,7,37,47,3,,,,,,,,,,,,,,,,,,,,
14.Dec,14.Nov,14.Oct,14.Aug,14.Jul,14.Jun,14.May,14.Apr,14.Mar,14.Feb,14.Jan,13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,13.May,13.Apr,13.Mar,13.Feb,13.Jan,12.Dec,12.Nov,12.Oct,12.Sep,12.Aug,12.Jul,12.Jun,12.May,12.Apr,12.Mar,12.Feb,12.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,16,1,20,17,4,3,5,2,3,18,5,2,1,4,72,6,25,25,21,76,228,1,21,12,2,13,6,5,5,10,274,10,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.Dec,11.Nov,11.Oct,11.Sep,11.Aug,11.Jul,11.Jun,11.May,11.Mar,10.Jul,10.Jun,10.Apr,9.Oct,9.May,9.Mar,8.Sep,8.Jul,8.Jun,8.May,8.Apr,7.Dec,7.Nov,7.Sep,7.Aug,7.May,7.Apr,7.Mar,7.Feb,7.Jan,6.Nov,6.Oct,6.Sep,6.Aug,6.Jul,6.Jun,6.Apr,6.Mar,6.Feb,6.Jan,5.Dec,5.Nov,5.Oct,5.Jun,5.May,5.Apr,5.Mar,,,,,,,,,,,,,,,,,,,,,,,
1,25,13,2,6,2,2,3,2,1,2,1,3,1,1,10,1,1,4,8,8,3,2,1,1,1,2,6,3,6,1,2,7,2,4,2,13,12,10,17,6,7,8,14,26,37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Nov,19.Oct,19.Sep,19.Aug,19.Jul,19.Jun,19.May,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Nov,18.Oct,18.Sep,18.Aug,18.Jul,18.Jun,18.May,18.Apr,18.Mar,18.Feb,18.Jan,17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,17.May,17.Apr,17.Mar,17.Feb,16.Nov,16.Oct,16.Sep,16.Aug,16.Jul,16.Jun,16.May,16.Apr,16.Mar,16.Feb,16.Jan,15.Dec,15.Nov,15.Oct,15.Sep,15.Aug,15.Jul,15.Jun,15.May,15.Apr,15.Mar,15.Feb,15.Jan,14.Dec,14.Nov,14.Oct,14.Sep,14.Aug,14.Jul,14.Jun,14.May,14.Apr,14.Mar,14.Feb,14.Jan
17,9,5,20,32,1,4,4,2,12,86,13,37,3,5,2,5,18,18,6,20,26,121,20,2,6,27,7,73,4,1,12,23,16,31,9,2,7,3,4,8,2,3,27,69,175,4,8,13,11,10,32,13,2,57,94,42,16,6,4,7,37,60,6,18,11,37,82,90
13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,13.May,13.Apr,13.Mar,13.Feb,13.Jan,12.Dec,12.Nov,12.Oct,12.Sep,12.Aug,12.Jul,12.Jun,12.May,12.Apr,12.Mar,12.Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,37,6,14,14,47,28,79,525,160,63,544,116,47,45,19,3,15,6,3,9,67,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.Dec,11.Nov,11.Oct,11.Sep,11.Aug,11.Jul,10.Apr,10.Mar,10.Feb,10.Jan,9.Dec,9.Nov,9.Sep,9.Aug,9.Jul,9.Jun,9.May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,4,47,33,1,1,1,2,4,17,25,11,21,28,63,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食品添加剂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Nov,19.Oct,19.Sep,19.Aug,19.Jul,19.Jun,19.May,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Nov,18.Oct,18.Sep,18.Aug,18.Jul,18.Jun,18.May,18.Apr,18.Mar,18.Feb,18.Jan,17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,17.May,17.Apr,17.Mar,17.Feb,17.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,47,95,96,194,102,152,298,140,37,81,64,314,153,213,170,207,195,192,190,70,93,122,347,104,239,58,178,143,210,195,142,330,247,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.Dec,16.Nov,16.Oct,16.Sep,16.Aug,16.Jul,16.Jun,16.May,16.Apr,16.Mar,16.Feb,16.Jan,15.Dec,15.Nov,15.Oct,15.Sep,15.Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,189,79,259,376,81,119,178,59,49,108,323,67,33,338,229,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地沟油,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Nov,19.Oct,19.Sep,19.Aug,19.Jul,19.Jun,19.May,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Nov,18.Oct,18.Sep,18.Aug,18.Jul,18.May,18.Apr,18.Mar,18.Feb,18.Jan,17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,17,4,58,69,63,5,29,24,14,19,2,14,2,119,127,1,17,226,31,433,27,353,59,134,103,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.May,17.Apr,17.Mar,17.Feb,17.Jan,16.Dec,16.Nov,16.Oct,16.Aug,16.Jul,16.Jun,16.May,16.Feb,16.Jan,15.Dec,15.Nov,15.Oct,15.Aug,15.Jul,15.May,15.Apr,15.Mar,15.Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,211,30,117,95,12,44,3,2,30,50,23,2,150,26,6,23,233,276,69,97,697,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.Dec,14.Nov,14.Oct,14.Sep,14.Aug,14.Jul,14.Jun,14.May,14.Apr,14.Mar,14.Feb,14.Jan,13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,May.13,Apr.13,Mar.13,Feb.13,Jan.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,291,230,2101,422,188,153,855,219,613,973,566,183,412,898,1827,703,700,1025,1623,897,1593,872,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec.12,Nov.12,Oct.12,Sep.12,Aug.12,Jul.12,Jun.12,May.12,Apr.12,Mar.12,Feb.12,Mar.12,Feb.12,Jan.12,Dec.11,Nov.11,Oct.11,Sep.11,Aug.11,Jul.11,Jun.11,Mar.11,Jan.11,Dec.10,Oct.10,Sep.10,Aug.10,Jul.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,386,871,2262,2747,680,811,1457,728,1783,1915,996,1826,763,2834,1361,3484,6208,208,2,0,2,1,6,6,1,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瘦肉精,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec.19,Nov.19,Oct.19,Sep.19,19.Aug,19.Jul,19.Jun,19.May,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Nov,18.Oct,18.Sep,18.Aug,18.Jul,18.Jun,18.May,18.Apr,18.Mar,18.Feb,18.Jan,17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,17.May,17.Apr,17.Mar,17.Feb,17.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,1,14,7,2,7,6,5,9,2,13,17,55,8,1,15,58,8,12,5,7,17,32,12,45,10,5,61,39,21,14,19,110,56,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.Dec,16.Nov,16.Sep,16.Aug,16.Jul,16.Jun,16.May,16.Apr,16.Mar,16.Feb,16.Jan,15.Dec,15.Nov,15.Oct,15.Sep,15.Aug,15.Jul,15.Jun,15.May,15.Apr,15.Mar,15.Feb,15.Jan,14.Dec,14.Nov,14.Oct,14.Sep,14.Aug,14.Jul,14.Jun,14.May,14.Apr,14.Mar,14.Feb,14.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,4,61,13,34,77,92,1,4,33,16,6,9,21,63,160,186,35,27,61,97,80,10,85,85,87,59,23,92,53,40,148,70,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,13.May,13.Apr,13.Mar,13.Feb,13.Jan,12.Dec,12.Nov,12.Oct,12.Sep,12.Aug,12.Jul,12.Jun,12.May,12.Apr,12.Mar,Feb.12,Jan.12,Dec.11,Nov.11,11.Oct,11.Sep,11.Aug,5.Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,227,26,64,1411,339,698,761,108,448,248,205,243,148,150,65,133,131,437,527,566,2725,1313,471,820,1335,1551,663,2263,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
